Epoch:286   Accuracy:81.76
Epoch:287   Accuracy:81.79
Epoch:288   Accuracy:81.78
Epoch:289   Accuracy:81.99
Epoch:290   Accuracy:82.35
Epoch:291   Accuracy:82.34
Epoch:292   Accuracy:82.25
Epoch:293   Accuracy:82.62
Epoch:294   Accuracy:81.92
Epoch:295   Accuracy:82.10
Epoch:296   Accuracy:82.11
Epoch:297   Accuracy:82.35
Epoch:298   Accuracy:81.79
Epoch:299   Accuracy:81.87
Epoch:300   Accuracy:82.13
