Numer of labeled samples:35914   AUC:0.908
Numer of labeled samples:35950   AUC:0.908
Numer of labeled samples:35904   AUC:0.912
Numer of labeled samples:35941   AUC:0.907
Numer of labeled samples:35929   AUC:0.898
Numer of labeled samples:35931   AUC:0.891
Numer of labeled samples:35925   AUC:0.901
Numer of labeled samples:35939   AUC:0.906
Numer of labeled samples:35920   AUC:0.896
Numer of labeled samples:35931   AUC:0.904
Numer of labeled samples:35917   AUC:0.899
Numer of labeled samples:35929   AUC:0.893
Numer of labeled samples:35919   AUC:0.897
Numer of labeled samples:35931   AUC:0.896
Numer of labeled samples:35916   AUC:0.898
Numer of labeled samples:35914   AUC:0.899
Numer of labeled samples:35909   AUC:0.887
Numer of labeled samples:35951   AUC:0.906
Numer of labeled samples:35905   AUC:0.892
Numer of labeled samples:35921   AUC:0.908
Numer of labeled samples:35911   AUC:0.892
Numer of labeled samples:35933   AUC:0.902
Numer of labeled samples:35911   AUC:0.888
Numer of labeled samples:35940   AUC:0.903
Numer of labeled samples:35927   AUC:0.895
Numer of labeled samples:35941   AUC:0.898
Numer of labeled samples:35918   AUC:0.891
Numer of labeled samples:35926   AUC:0.902
Numer of labeled samples:35919   AUC:0.899
Numer of labeled samples:35937   AUC:0.885
Numer of labeled samples:35909   AUC:0.899
Numer of labeled samples:35926   AUC:0.902
Numer of labeled samples:35896   AUC:0.895
Numer of labeled samples:35939   AUC:0.905
Numer of labeled samples:35925   AUC:0.901
Numer of labeled samples:35937   AUC:0.881
Numer of labeled samples:35934   AUC:0.891
Numer of labeled samples:35930   AUC:0.898
Numer of labeled samples:35939   AUC:0.895
Numer of labeled samples:35947   AUC:0.880
Numer of labeled samples:35918   AUC:0.890
Numer of labeled samples:35938   AUC:0.884
Numer of labeled samples:35923   AUC:0.895
Numer of labeled samples:35922   AUC:0.905
Numer of labeled samples:35917   AUC:0.876
Numer of labeled samples:35933   AUC:0.897
Numer of labeled samples:35925   AUC:0.899
Numer of labeled samples:35936   AUC:0.904
Numer of labeled samples:35931   AUC:0.899
Numer of labeled samples:35939   AUC:0.908
Numer of labeled samples:35926   AUC:0.882
Numer of labeled samples:35943   AUC:0.897
Numer of labeled samples:35924   AUC:0.897
Numer of labeled samples:35929   AUC:0.893
Numer of labeled samples:35926   AUC:0.898
Numer of labeled samples:35921   AUC:0.891
Numer of labeled samples:35918   AUC:0.894
Numer of labeled samples:35905   AUC:0.902
Numer of labeled samples:35913   AUC:0.901
Numer of labeled samples:35940   AUC:0.902
Numer of labeled samples:35906   AUC:0.876
Numer of labeled samples:35912   AUC:0.897
Numer of labeled samples:35928   AUC:0.900
Numer of labeled samples:35927   AUC:0.905
Numer of labeled samples:35915   AUC:0.904
Numer of labeled samples:35941   AUC:0.900
Numer of labeled samples:35893   AUC:0.880
Numer of labeled samples:35942   AUC:0.887
Numer of labeled samples:35944   AUC:0.879
Numer of labeled samples:35941   AUC:0.902
Numer of labeled samples:35935   AUC:0.894
Numer of labeled samples:35949   AUC:0.899
Numer of labeled samples:35937   AUC:0.891
Numer of labeled samples:35939   AUC:0.899
Numer of labeled samples:35940   AUC:0.893
Numer of labeled samples:35934   AUC:0.902
Numer of labeled samples:35940   AUC:0.903
Numer of labeled samples:35947   AUC:0.897
Numer of labeled samples:35917   AUC:0.904
Numer of labeled samples:35935   AUC:0.902
Numer of labeled samples:35924   AUC:0.897
Numer of labeled samples:35951   AUC:0.891
Numer of labeled samples:35937   AUC:0.899
Numer of labeled samples:35929   AUC:0.891
Numer of labeled samples:35908   AUC:0.897
Numer of labeled samples:35912   AUC:0.903
Numer of labeled samples:35921   AUC:0.903
Numer of labeled samples:35934   AUC:0.893
Numer of labeled samples:35896   AUC:0.901
Numer of labeled samples:35930   AUC:0.909
Numer of labeled samples:35925   AUC:0.898
Numer of labeled samples:35934   AUC:0.891
Numer of labeled samples:35933   AUC:0.898
Numer of labeled samples:35936   AUC:0.902
Numer of labeled samples:35929   AUC:0.898
Numer of labeled samples:35933   AUC:0.913
Numer of labeled samples:35932   AUC:0.901
Numer of labeled samples:35947   AUC:0.887
Numer of labeled samples:35933   AUC:0.888
Numer of labeled samples:35945   AUC:0.899
Numer of labeled samples:35912   AUC:0.888
Numer of labeled samples:35929   AUC:0.886
Numer of labeled samples:35933   AUC:0.891
Numer of labeled samples:35935   AUC:0.891
Numer of labeled samples:35949   AUC:0.892
Numer of labeled samples:35938   AUC:0.899
Numer of labeled samples:35930   AUC:0.882
Numer of labeled samples:35950   AUC:0.900
Numer of labeled samples:35934   AUC:0.876
Numer of labeled samples:35953   AUC:0.892
Numer of labeled samples:35938   AUC:0.886
Numer of labeled samples:35944   AUC:0.892
Numer of labeled samples:35928   AUC:0.889
Numer of labeled samples:35916   AUC:0.902
Numer of labeled samples:35927   AUC:0.891
Numer of labeled samples:35947   AUC:0.910
Numer of labeled samples:35933   AUC:0.906
Numer of labeled samples:35943   AUC:0.874
Numer of labeled samples:35924   AUC:0.892
Numer of labeled samples:35942   AUC:0.905
Numer of labeled samples:35922   AUC:0.900
Numer of labeled samples:35943   AUC:0.893
Numer of labeled samples:35926   AUC:0.906
Numer of labeled samples:35943   AUC:0.891
Numer of labeled samples:35956   AUC:0.889
Numer of labeled samples:35939   AUC:0.892
Numer of labeled samples:35935   AUC:0.900
Numer of labeled samples:35940   AUC:0.893
Numer of labeled samples:35927   AUC:0.890
Numer of labeled samples:35919   AUC:0.895
Numer of labeled samples:35928   AUC:0.902
Numer of labeled samples:35948   AUC:0.899
Numer of labeled samples:35938   AUC:0.891
Numer of labeled samples:35918   AUC:0.903
Numer of labeled samples:35932   AUC:0.897
Numer of labeled samples:35936   AUC:0.891
Numer of labeled samples:35935   AUC:0.900
Numer of labeled samples:35927   AUC:0.890
Numer of labeled samples:35943   AUC:0.882
Numer of labeled samples:35913   AUC:0.897
Numer of labeled samples:35956   AUC:0.900
Numer of labeled samples:35937   AUC:0.903
Numer of labeled samples:35931   AUC:0.895
Numer of labeled samples:35917   AUC:0.885
Numer of labeled samples:35931   AUC:0.900
Numer of labeled samples:35945   AUC:0.889
Numer of labeled samples:35935   AUC:0.895
Numer of labeled samples:35939   AUC:0.898
Numer of labeled samples:35933   AUC:0.896
Numer of labeled samples:35938   AUC:0.897
Numer of labeled samples:35921   AUC:0.893
Numer of labeled samples:35935   AUC:0.889
Numer of labeled samples:35925   AUC:0.903
Numer of labeled samples:35923   AUC:0.894
Numer of labeled samples:35927   AUC:0.889
Numer of labeled samples:35925   AUC:0.883
Numer of labeled samples:35927   AUC:0.889
Numer of labeled samples:35919   AUC:0.904
Numer of labeled samples:35930   AUC:0.890
Numer of labeled samples:35939   AUC:0.898
Numer of labeled samples:35928   AUC:0.898
Numer of labeled samples:35941   AUC:0.894
Numer of labeled samples:35928   AUC:0.898
Numer of labeled samples:35929   AUC:0.884
Numer of labeled samples:35938   AUC:0.897
Numer of labeled samples:35939   AUC:0.906
Numer of labeled samples:35941   AUC:0.892
Numer of labeled samples:35927   AUC:0.895
Numer of labeled samples:35932   AUC:0.896
Numer of labeled samples:35944   AUC:0.893
Numer of labeled samples:35930   AUC:0.909
Numer of labeled samples:35936   AUC:0.881
Numer of labeled samples:35933   AUC:0.896
Numer of labeled samples:35939   AUC:0.888
Numer of labeled samples:35939   AUC:0.882
Numer of labeled samples:35939   AUC:0.892
Numer of labeled samples:35944   AUC:0.890
Numer of labeled samples:35916   AUC:0.896
Numer of labeled samples:35911   AUC:0.900
Numer of labeled samples:35951   AUC:0.896
Numer of labeled samples:35920   AUC:0.887
Numer of labeled samples:35940   AUC:0.882
Numer of labeled samples:35927   AUC:0.897
Numer of labeled samples:35946   AUC:0.900
Numer of labeled samples:35925   AUC:0.896
Numer of labeled samples:35947   AUC:0.900
Numer of labeled samples:35915   AUC:0.886
Numer of labeled samples:35947   AUC:0.904
Numer of labeled samples:35928   AUC:0.888
Numer of labeled samples:35942   AUC:0.903
Numer of labeled samples:35937   AUC:0.891
Numer of labeled samples:35942   AUC:0.892
Numer of labeled samples:35937   AUC:0.896
Numer of labeled samples:35931   AUC:0.893
Numer of labeled samples:35950   AUC:0.878
Numer of labeled samples:35931   AUC:0.896
Numer of labeled samples:35939   AUC:0.886
Numer of labeled samples:35935   AUC:0.894
Numer of labeled samples:35929   AUC:0.894
Numer of labeled samples:35927   AUC:0.898
Numer of labeled samples:35927   AUC:0.891
Numer of labeled samples:35927   AUC:0.905
Numer of labeled samples:35934   AUC:0.884
