Numer of labeled samples:13898   AUC:0.987
Numer of labeled samples:13955   AUC:0.987
Numer of labeled samples:13874   AUC:0.987
Numer of labeled samples:13857   AUC:0.984
Numer of labeled samples:13876   AUC:0.986
Numer of labeled samples:13888   AUC:0.987
Numer of labeled samples:13801   AUC:0.984
Numer of labeled samples:14038   AUC:0.988
Numer of labeled samples:13926   AUC:0.987
Numer of labeled samples:13816   AUC:0.987
Numer of labeled samples:13926   AUC:0.987
Numer of labeled samples:13985   AUC:0.987
Numer of labeled samples:13877   AUC:0.988
Numer of labeled samples:13967   AUC:0.986
Numer of labeled samples:13923   AUC:0.988
Numer of labeled samples:13874   AUC:0.988
Numer of labeled samples:13941   AUC:0.988
Numer of labeled samples:13895   AUC:0.987
Numer of labeled samples:13843   AUC:0.985
Numer of labeled samples:13873   AUC:0.986
Numer of labeled samples:13929   AUC:0.987
Numer of labeled samples:13937   AUC:0.986
Numer of labeled samples:13910   AUC:0.986
Numer of labeled samples:13891   AUC:0.987
Numer of labeled samples:13883   AUC:0.984
Numer of labeled samples:13891   AUC:0.986
Numer of labeled samples:13889   AUC:0.985
Numer of labeled samples:13997   AUC:0.987
Numer of labeled samples:13903   AUC:0.986
Numer of labeled samples:13945   AUC:0.987
Numer of labeled samples:13999   AUC:0.988
Numer of labeled samples:13914   AUC:0.985
Numer of labeled samples:13980   AUC:0.986
Numer of labeled samples:13854   AUC:0.986
Numer of labeled samples:14013   AUC:0.985
Numer of labeled samples:13954   AUC:0.987
Numer of labeled samples:13906   AUC:0.986
Numer of labeled samples:13933   AUC:0.986
Numer of labeled samples:13998   AUC:0.986
Numer of labeled samples:13929   AUC:0.986
Numer of labeled samples:13938   AUC:0.985
Numer of labeled samples:13899   AUC:0.985
Numer of labeled samples:13956   AUC:0.985
Numer of labeled samples:13991   AUC:0.987
Numer of labeled samples:13957   AUC:0.989
Numer of labeled samples:14033   AUC:0.987
Numer of labeled samples:13934   AUC:0.989
Numer of labeled samples:14008   AUC:0.987
Numer of labeled samples:13983   AUC:0.989
Numer of labeled samples:13964   AUC:0.988
Numer of labeled samples:13953   AUC:0.988
Numer of labeled samples:14069   AUC:0.988
Numer of labeled samples:14024   AUC:0.987
Numer of labeled samples:13973   AUC:0.987
Numer of labeled samples:14031   AUC:0.989
Numer of labeled samples:14009   AUC:0.986
Numer of labeled samples:13952   AUC:0.987
Numer of labeled samples:13969   AUC:0.986
Numer of labeled samples:13967   AUC:0.988
Numer of labeled samples:14048   AUC:0.987
Numer of labeled samples:13995   AUC:0.988
Numer of labeled samples:14068   AUC:0.988
Numer of labeled samples:13952   AUC:0.988
Numer of labeled samples:14029   AUC:0.989
Numer of labeled samples:13954   AUC:0.987
Numer of labeled samples:13994   AUC:0.988
Numer of labeled samples:14017   AUC:0.988
Numer of labeled samples:14205   AUC:0.989
Numer of labeled samples:14039   AUC:0.988
Numer of labeled samples:13951   AUC:0.988
Numer of labeled samples:14050   AUC:0.987
Numer of labeled samples:13993   AUC:0.987
Numer of labeled samples:13980   AUC:0.988
Numer of labeled samples:14136   AUC:0.989
Numer of labeled samples:14076   AUC:0.989
Numer of labeled samples:14174   AUC:0.989
Numer of labeled samples:14090   AUC:0.988
Numer of labeled samples:14179   AUC:0.988
Numer of labeled samples:14110   AUC:0.988
Numer of labeled samples:14185   AUC:0.988
Numer of labeled samples:14131   AUC:0.988
Numer of labeled samples:14210   AUC:0.987
Numer of labeled samples:14150   AUC:0.988
Numer of labeled samples:14227   AUC:0.988
Numer of labeled samples:14173   AUC:0.988
Numer of labeled samples:14190   AUC:0.987
Numer of labeled samples:14171   AUC:0.988
Numer of labeled samples:14197   AUC:0.987
Numer of labeled samples:14175   AUC:0.988
Numer of labeled samples:14200   AUC:0.988
Numer of labeled samples:14183   AUC:0.988
Numer of labeled samples:14207   AUC:0.987
Numer of labeled samples:14178   AUC:0.986
Numer of labeled samples:14234   AUC:0.988
Numer of labeled samples:14174   AUC:0.988
Numer of labeled samples:14219   AUC:0.988
Numer of labeled samples:14196   AUC:0.988
Numer of labeled samples:14206   AUC:0.987
Numer of labeled samples:14174   AUC:0.986
Numer of labeled samples:14203   AUC:0.987
Numer of labeled samples:14208   AUC:0.988
Numer of labeled samples:14219   AUC:0.987
Numer of labeled samples:14208   AUC:0.987
Numer of labeled samples:14197   AUC:0.987
Numer of labeled samples:14202   AUC:0.988
Numer of labeled samples:14209   AUC:0.987
Numer of labeled samples:14232   AUC:0.987
Numer of labeled samples:14209   AUC:0.987
Numer of labeled samples:14229   AUC:0.988
Numer of labeled samples:14235   AUC:0.987
Numer of labeled samples:14234   AUC:0.987
Numer of labeled samples:14225   AUC:0.987
Numer of labeled samples:14211   AUC:0.987
Numer of labeled samples:14221   AUC:0.985
Numer of labeled samples:14224   AUC:0.987
Numer of labeled samples:14187   AUC:0.986
Numer of labeled samples:14235   AUC:0.987
Numer of labeled samples:14235   AUC:0.987
Numer of labeled samples:14210   AUC:0.986
Numer of labeled samples:14265   AUC:0.987
